/usr/local/mysql/bin/mysqld, Version: 5.7.14 (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2016-08-25T16:30:58.888154Z	  997 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.888514Z	  997 Query	SET NAMES latin1
2016-08-25T16:30:58.888841Z	  997 Query	SET character_set_results = NULL
2016-08-25T16:30:58.888966Z	  997 Query	SET autocommit=1
2016-08-25T16:30:58.889991Z	  998 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.890171Z	  998 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.890600Z	  998 Query	SET NAMES latin1
2016-08-25T16:30:58.890727Z	  998 Query	SET character_set_results = NULL
2016-08-25T16:30:58.890854Z	  998 Query	SET autocommit=1
2016-08-25T16:30:58.892095Z	  999 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.892296Z	  999 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.892684Z	  999 Query	SET NAMES latin1
2016-08-25T16:30:58.892793Z	  999 Query	SET character_set_results = NULL
2016-08-25T16:30:58.892915Z	  999 Query	SET autocommit=1
2016-08-25T16:30:58.893972Z	 1000 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.894160Z	 1000 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.894543Z	 1000 Query	SET NAMES latin1
2016-08-25T16:30:58.894687Z	 1000 Query	SET character_set_results = NULL
2016-08-25T16:30:58.894852Z	 1000 Query	SET autocommit=1
2016-08-25T16:30:58.895993Z	 1001 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.896277Z	 1001 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.896677Z	 1001 Query	SET NAMES latin1
2016-08-25T16:30:58.896814Z	 1001 Query	SET character_set_results = NULL
2016-08-25T16:30:58.896972Z	 1001 Query	SET autocommit=1
2016-08-25T16:30:59.357507Z	 1001 Quit	
2016-08-25T16:30:59.358013Z	  999 Quit	
2016-08-25T16:30:59.358015Z	 1000 Quit	
2016-08-25T16:30:59.358040Z	  998 Quit	
2016-08-25T16:30:59.358045Z	  997 Quit	
2016-08-25T16:30:59.358058Z	  996 Quit	
2016-08-25T16:30:59.358064Z	  995 Quit	
2016-08-25T16:30:59.358122Z	  994 Quit	
2016-08-25T16:30:59.358126Z	  993 Quit	
2016-08-25T16:30:59.358166Z	  992 Quit	
2016-08-25T16:34:56.933914Z	 1002 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.937540Z	 1002 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.954447Z	 1002 Query	SET NAMES latin1
2016-08-25T16:34:56.954633Z	 1002 Query	SET character_set_results = NULL
2016-08-25T16:34:56.954962Z	 1002 Query	SET autocommit=1
2016-08-25T16:34:56.956871Z	 1003 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.957133Z	 1003 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.957649Z	 1003 Query	SET NAMES latin1
2016-08-25T16:34:56.957784Z	 1003 Query	SET character_set_results = NULL
2016-08-25T16:34:56.957951Z	 1003 Query	SET autocommit=1
2016-08-25T16:34:56.959246Z	 1004 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.959495Z	 1004 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.959973Z	 1004 Query	SET NAMES latin1
2016-08-25T16:34:56.960093Z	 1004 Query	SET character_set_results = NULL
2016-08-25T16:34:56.960214Z	 1004 Query	SET autocommit=1
2016-08-25T16:34:56.961422Z	 1005 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.961666Z	 1005 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
